,A ADI,A AJG,AAL APA
2020-11-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-12-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-12-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-12-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-12-31,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-14,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-01-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-01-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-01-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-01-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-01-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-02-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-02-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-02-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-03-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-03-31,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-04-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-04-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-05-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-05-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-05-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2021-05-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-05-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2021-06-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
