,TOTAL,CASH,AUM
2023/12/22,110316.05,7493.890000000016,102822.15526379645
2023/12/26,110346.81,7493.890000000016,102852.92189718038
2023/12/27,110336.19,7493.890000000016,102842.29800403118
2023/12/28,110715.75,22262.720000000016,88453.03060258552
2023/12/29,110588.44,22366.250000000015,88222.18560899422
2024/01/02,109793.24,22366.250000000015,87426.9934816435
2024/01/03,109295.89,22402.860000000015,86893.02896595746
2024/01/04,109152.38,22402.860000000015,86749.52128886431
2024/01/05,109505.4,22402.860000000015,87102.53748416156
2024/01/08,110300.68,22402.860000000015,87897.81855228543
2024/01/09,110062.73,22402.860000000015,87659.87263110653
2024/01/10,110625.9,22402.860000000015,88223.03756536543
2024/01/11,110336.8,22402.860000000015,87933.9425649941
2024/01/12,110254.88,22402.860000000015,87852.01662352681
2024/01/16,110019.23,22402.860000000015,87616.37237805128
2024/01/17,109777.91,22402.860000000015,87375.04719799757
2024/01/18,110696.36,22402.860000000015,88293.50224870443
2024/01/19,111570.69,22402.860000000015,89167.83079522848
2024/01/22,111502.5,22402.860000000015,89099.63808625937
2024/01/23,111624.5,22402.860000000015,89221.63781310618
2024/01/24,111961.7,22402.860000000015,89558.83691550791
2024/01/25,112589.65,22402.860000000015,90186.79009444267
2024/01/26,112477.13,22533.360000000015,89943.77126306295
2024/01/29,112862.81,22533.360000000015,90329.45294386894
2024/01/30,112890.31,22533.360000000015,90356.94522883743
2024/01/31,111948.33,22613.160000000014,89335.16719462723
2024/02/01,112488.74,22613.160000000014,89875.58062019944
2024/02/02,112845.44,22714.530000000013,90130.90635565668
2024/02/05,112478.84,22714.530000000013,89764.3074818477
2024/02/06,112865.61,22714.530000000013,90151.08007723838
2024/02/07,113163.58,22814.440000000013,90349.13884264976
2024/02/08,112978.75,22814.440000000013,90164.30500888824
2024/02/09,113433.41,28783.140000000014,84650.26617633551
2024/02/12,113279.12,28783.140000000014,84495.9799095504
2024/02/13,112264.1,28783.140000000014,83480.962821614
2024/02/14,112723.32,28783.140000000014,83940.18046868965
2024/02/15,113323.91,23341.330000000013,89982.57911267504
2024/02/16,113116.42,23341.330000000013,89775.09014276415
2024/02/20,112894.17,23341.330000000013,89552.83753044531
2024/02/21,112929.67,23341.330000000013,89588.33832579106
2024/02/22,114521.43,19139.23000000001,95382.20387031138
2024/02/23,114442.1,19139.23000000001,95302.86731101573
2024/02/26,114125.19,19139.23000000001,94985.95780326426
2024/02/27,114689.41,19139.23000000001,95550.18072272837
2024/02/28,114789.1,14077.49000000001,100711.6057578437
2024/02/29,115369.83,14077.49000000001,101292.34464456327
2024/03/01,115410.45,14077.49000000001,101332.959669061
2024/03/04,115026.83,19510.34000000001,95516.48941811547
2024/03/05,114195.43,24514.87000000001,89680.5566101931
2024/03/06,114240.19,22023.21000000001,92216.97890703753
2024/03/07,114415.76,22125.23000000001,92290.53457471728
2024/03/08,114528.76,22125.23000000001,92403.52552942932
2024/03/11,114610.33,22125.23000000001,92485.09500841796
2024/03/12,115508.15,22125.23000000001,93382.92265727371
2024/03/13,115707.06,22125.23000000001,93581.83367949165
2024/03/14,115535.72,22152.23000000001,93383.48987206444
2024/03/15,115374.76,22152.23000000001,93222.53218100965
2024/03/18,115648.72,22152.23000000001,93496.49075276218
2024/03/19,116197.09,22152.23000000001,94044.85785704292
2024/03/20,117262.54,22152.23000000001,95110.30629874766
2024/03/21,117162.95,22152.23000000001,95010.71943791397
2024/03/22,116758.1,22152.23000000001,94605.87048178352
2024/03/25,116324.08,22152.23000000001,94171.84955617785
2024/03/26,116523.72,22152.23000000001,94371.49246365484
2024/03/27,117530.86,20558.80000000001,96972.0618813578
2024/03/28,117799.35,20558.80000000001,97240.54604366794
2024/04/01,117565.21,20573.90000000001,96991.31491540652
2024/04/02,117217.03,20669.35000000001,96547.68305769004
2024/04/03,117318.29,20669.35000000001,96648.94221677817
2024/04/04,116556.75,20669.35000000001,95887.39963158593
2024/04/05,117388.84,20788.33000000001,96600.51135735214
2024/04/08,117583.61,20788.33000000001,96795.28152924217
2024/04/09,117690.61,20788.33000000001,96902.27574759163
2024/04/10,116891.78,16644.89000000001,100246.89019709267
2024/04/11,117500.97,16644.89000000001,100856.07947785966
2024/04/12,115795.24,16644.89000000001,99150.35192852654
2024/04/15,114796.68,16644.89000000001,98151.78505449928
2024/04/16,114040.07,16644.89000000001,97395.18317283317
2024/04/17,113841.37,16644.89000000001,97196.47906745598
2024/04/18,113631.91,16644.89000000001,96987.02298625
2024/04/19,113858.55,16644.89000000001,97213.66015531309
2024/04/22,114516.56,16644.89000000001,97871.6657555271
2024/04/23,115335.64,21344.85000000001,93990.78883656487
2024/04/24,115306.5,16452.17000000001,98854.33281356748
2024/04/25,114914.45,16452.17000000001,98462.27549375221
2024/04/26,115332.29,16572.67000000001,98759.61965474114
2024/04/29,115425.99,12225.77000000001,103200.2233303003
2024/04/30,114169.13,12313.17000000001,101855.95969832316
2024/05/01,114404.77,12313.17000000001,102091.60146320239
2024/05/02,115651.22,12391.080000000009,103260.14061653987
2024/05/03,117281.32,12391.080000000009,104890.24173691124
2024/05/06,117988.5,12391.080000000009,105597.41993009299
2024/05/07,118048.06,12488.050000000008,105560.01394688338
2024/05/08,118117.71,12488.050000000008,105629.66183737293
2024/05/09,119092.22,12488.050000000008,106604.1734312009
2024/05/10,119101.55,12488.050000000008,106613.49783005752
2024/05/13,119240.02,13690.480000000009,105549.53685485572
2024/05/14,119525.97,13690.480000000009,105835.48636536114
2024/05/15,120381.63,13690.480000000009,106691.14968517795
2024/05/16,120416.58,13707.730000000009,106708.85416248813
2024/05/17,120661.2,13707.730000000009,106953.46866904944
2024/05/20,119827.49,13707.730000000009,106119.7617061194
2024/05/21,120486.33,12626.870000000008,107859.4568961002
2024/05/22,120987.05,12626.870000000008,108360.17516354099
2024/05/23,119808.87,12626.870000000008,107181.99909428135
2024/05/24,121433.99,12626.870000000008,108807.11897291243
2024/05/28,121295.87,12626.870000000008,108668.99560498912
2024/05/29,120906.59,12626.870000000008,108279.72228376847
2024/05/30,120850.61,12626.870000000008,108223.73891373724
2024/05/31,121615.96,10473.070000000007,111142.89057529159
2024/06/03,121891.09,10473.070000000007,111418.01730682608
2024/06/04,121294.68,10532.010000000007,110762.6715289969
2024/06/05,121928.22,10532.010000000007,111396.20936161932
2024/06/06,121450.0,10532.010000000007,110917.99440454226
2024/06/07,121649.34,10646.360000000008,111002.98335318174
2024/06/10,121769.98,10646.360000000008,111123.62463707943
2024/06/11,122868.35,10646.360000000008,112221.99286217708
2024/06/12,123539.98,10646.360000000008,112893.61984581966
2024/06/13,123115.54,10673.360000000008,112442.17596955318
2024/06/14,122429.85,10673.360000000008,111756.48806821648
2024/06/17,123037.4,10673.360000000008,112364.04315680452
2024/06/18,122864.7,10673.360000000008,112191.33963112347
2024/06/20,122651.52,10673.360000000008,111978.15980802244
2024/06/21,122502.82,10673.360000000008,111829.45808937307
2024/06/24,122934.33,10673.360000000008,112260.96885444876
2024/06/25,122625.77,10673.360000000008,111952.41101791617
2024/06/26,122726.18,7679.480000000008,115046.7009058427
2024/06/27,123023.28,7679.480000000008,115343.80243987031
2024/06/28,122085.64,7679.480000000008,114406.16213135235
2024/07/01,122770.78,7679.480000000008,115091.30395614356
2024/07/02,123459.55,7725.400000000008,115734.14771363512
2024/07/03,120090.09,9214.550000000008,110875.5421878025
2024/07/05,124793.2,9323.910000000009,115469.2850160338
2024/07/08,124907.8,9323.910000000009,115583.88595687598
2024/07/09,124904.97,9323.910000000009,115581.05603942368
